App Version Code,App Version Name,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,developer_last_updated_time,Device,firefox_major_version,id,Package Name,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Review Link,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Text,Review Title,review_last_updated_time,review_submitted_time,Reviewer Language,Star Rating,star_rating,synthetic_developer_should_have_replied_but_did_not_reply
"2015548473","59.0.2","2018-06-08T08:52:42Z","1528447962512","Hi. We love that you are a loyal Firefox user and we appreciate your feedback. We’re sorry you’re having trouble with Firefox. Perhaps we can help solve your problem on the Support Forum - lots of people are there to provide one on one help. https://mzl.la/2sGCzQN ^pw",2018-06-08T08:52:42Z,"ailsa_ii",59,"gp:AOqpTOF53gsuNvxqyu8HEltOQCAFKu06dhgQKBxqAvIZNJZnMC5_HKG2Fp37g9OqrHSI_ta43Qnd2FCHJul7FA","org.mozilla.firefox","2018-05-01T00:01:32Z","1525132892895","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOF53gsuNvxqyu8HEltOQCAFKu06dhgQKBxqAvIZNJZnMC5_HKG2Fp37g9OqrHSI_ta43Qnd2FCHJul7FA","2018-04-30T23:59:06Z","1525132746352","I use Firefox for the PC and was willing to give it a shot for Android hoping that it's as fast. I was let down. Even on wifi this browser seems to hit rock bottom at random times. Thought maybe it was just my wifi but chrome blast through websites this browser struggles with. Oh well, I thought it would've been nice.",null,2018-05-01T00:01:32Z,2018-04-30T23:59:06Z,"en","2",2,false
"2015548473","59.0.2","2018-06-14T22:49:47Z","1529016587671","Hi. We do our best to make Firefox great for everyone so we’re sorry you’re having trouble with Firefox. Perhaps we can help solve your problem on the Support Forum - lots of people are there to provide one on one help. https://mzl.la/2sGCzQN ^pw",2018-06-14T22:49:47Z,"a7lte",59,"gp:AOqpTOHZJ3PBlIudLvvwNT1cUua07ok-N7UpouqlhWYFUM2_OYNHuabCCH9JdzwwFC6RfeIWl7_lgpTImzGn2w","org.mozilla.firefox","2018-05-01T02:31:06Z","1525141866617","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOHZJ3PBlIudLvvwNT1cUua07ok-N7UpouqlhWYFUM2_OYNHuabCCH9JdzwwFC6RfeIWl7_lgpTImzGn2w","2018-05-01T02:30:39Z","1525141839123","worst browser for downloading",null,2018-05-01T02:31:06Z,2018-05-01T02:30:39Z,"en","1",1,false
"2015533433","57.0.4","2018-06-08T08:52:41Z","1528447961002","Hi. Add-ons are made available by independent developers. I recommend contacting them through the page you downloaded the add-on from. ^pw",2018-06-08T08:52:41Z,"on7xelte",57,"gp:AOqpTOHVLumJmfXQKNBL3wrCYaEsBXw4ob9Cu8jikefD2HgHtH1x646Iw_L90F1Lo4PVhoy9sGFNru8__kuNIQ","org.mozilla.firefox","2018-05-01T06:34:00Z","1525156440736","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOHVLumJmfXQKNBL3wrCYaEsBXw4ob9Cu8jikefD2HgHtH1x646Iw_L90F1Lo4PVhoy9sGFNru8__kuNIQ","2018-05-01T06:33:32Z","1525156412244","why cant I use my video downloader extensions???",null,2018-05-01T06:34:00Z,2018-05-01T06:33:32Z,"en","1",1,false
"2015548473","59.0.2","2018-06-08T08:52:42Z","1528447962004","Hi. Hopefully I can help with that. Sometimes temporary files cached on your device slow down Firefox. You can clear them from Settings app - Storage - Cached Data. ^pw",2018-06-08T08:52:42Z,"hero2lte",59,"gp:AOqpTOFgUOjejUR2vTrFazzS4l7K2Ce4Xh_XulGmw2WCN43eSWqyD2BGiWopMujxsw6uSSE4a1EFDVjPfyiHwQ","org.mozilla.firefox","2018-05-01T13:12:59Z","1525180379201","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOFgUOjejUR2vTrFazzS4l7K2Ce4Xh_XulGmw2WCN43eSWqyD2BGiWopMujxsw6uSSE4a1EFDVjPfyiHwQ","2018-05-01T13:12:19Z","1525180339612","Slow, laggy, buggy, jerky... just plain Bad.",null,2018-05-01T13:12:59Z,2018-05-01T13:12:19Z,"en","1",1,false
null,null,"2018-06-08T08:51:15Z","1528447875885","¡Lamentamos que tengas problemas con Firefox! Tal vez podamos ayudar a resolver tu problema en el Foro de soporte - muchas personas están allí para proporcionar ayuda personalizada. http://mzl.la/1PbRGTP",2018-06-08T08:51:15Z,"titan_umts",,"gp:AOqpTOHQlS2ZMbceSsSBoyBWhnTAoOSQpEnDTKSyYNd67oK2tPBm6qytj0ApCLXuLQzC4vQtu0NXsHK2vrW43Q","org.mozilla.firefox","2018-05-01T13:46:37Z","1525182397077","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOHQlS2ZMbceSsSBoyBWhnTAoOSQpEnDTKSyYNd67oK2tPBm6qytj0ApCLXuLQzC4vQtu0NXsHK2vrW43Q","2018-05-01T13:43:50Z","1525182230377","No me sirve para nada, después de tener 5 pestañas abiertas se congela y no responde nunca más obligando a reiniciar mi dispositivo, no entiendo tantos años de experiencia de mozzila , y todavía no pueden crear un navegador estable, no entienden al usuario queremos navegar y trabajar documentos de manera rápida y estable sin que se laguee la aplicación, debo regresar a usar Google Chrome, quizá en un futuro puedan crear un navegador mejorado.",null,2018-05-01T13:46:37Z,2018-05-01T13:43:50Z,"es","1",1,false
"2015548473","59.0.2","2018-06-12T22:12:35Z","1528841555926","Hi. Sorry to hear about your problems. We're constantly working on improving the app. Perhaps we can help solve your problem on the Support Forum - lots of people are there to provide one on one help. https://mzl.la/2sGCzQN",2018-06-12T22:12:35Z,"flo",59,"gp:AOqpTOG6EAjDoxQAsFB_4fnAAc-tWjAJpobBDJHSMvvj5v2wHOHV_OYeRd61VRO5XYUcG4YXejOJk9MuZi-CyA","org.mozilla.firefox","2018-05-01T16:47:27Z","1525193247968","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOG6EAjDoxQAsFB_4fnAAc-tWjAJpobBDJHSMvvj5v2wHOHV_OYeRd61VRO5XYUcG4YXejOJk9MuZi-CyA","2018-04-13T20:16:53Z","1523650613808","Bloated, slow to load websites and doesn't respond to clicks. Looks like FF has lost the browser race and is going the same way as Netscape. If this isn't fixed within a month, I'm moving permanently to Chrome. And I'll bet that most FF users think the same way. @ Mozilla, pls don't tell me to remove all add-ons and clear cache... because that's only a temporary solution which lasts until exactly the next time I start FF. The only way to save your asses is to replace all your developers and your product owner, then make a browser that doesn't get in the way of browsing. Edit: meanwhile it's 1st of May 2018 and I've given up waiting and just deleted it.",null,2018-05-01T16:47:27Z,2018-04-13T20:16:53Z,"en","1",1,false
null,null,"2018-06-14T22:49:54Z","1529016594342","Hi. I am sorry to hear that, but hopefully, we can help. Perhaps we can help solve your problem on the Support Forum - lots of people are there to provide one on one help. https://mzl.la/2sGCzQN ^pw",2018-06-14T22:49:54Z,"Thrill_Boost",,"gp:AOqpTOHt8kotodou690ot82ckfMOzW7iIoMtPHatM1IGoG5Ck-4bUqddpTOdCl7KjAfsbvbTopi-oVwMFjTrqA","org.mozilla.firefox","2018-05-01T16:58:41Z","1525193921826","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOHt8kotodou690ot82ckfMOzW7iIoMtPHatM1IGoG5Ck-4bUqddpTOdCl7KjAfsbvbTopi-oVwMFjTrqA","2018-05-01T16:58:12Z","1525193892691","This app is garbage he says faild to download",null,2018-05-01T16:58:41Z,2018-05-01T16:58:12Z,"en","1",1,false
null,null,"2018-06-08T08:52:39Z","1528447959446","Hi. We’re sorry you’re having trouble with Firefox. Perhaps we can help solve your problem on the Support Forum - lots of people are there to provide one on one help. https://mzl.la/2sGCzQN ^pw",2018-06-08T08:52:39Z,"NE1",,"gp:AOqpTOGX01SatxP5CnOECuMrUI3HqxhubAokEuARaUJKtTDTXs1b9gGmBvdCL_W3YrYoWBK7G0edA-x-c0bNZw","org.mozilla.firefox","2018-05-01T17:32:21Z","1525195941600","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOGX01SatxP5CnOECuMrUI3HqxhubAokEuARaUJKtTDTXs1b9gGmBvdCL_W3YrYoWBK7G0edA-x-c0bNZw","2018-05-01T17:32:06Z","1525195926892","Improve it",null,2018-05-01T17:32:21Z,2018-05-01T17:32:06Z,"en","1",1,false
"2015548473","59.0.2","2018-06-08T08:52:39Z","1528447959967","Hi. Sometimes add-ons crash Firefox. Try uninstalling add-ons in Firefox menu - Add-ons. Also, check that you are using the latest version of Firefox and that you are not missing any Android updates. You can also clear the Cached Data in the Settings app - Storage. https://mzl.la/1mWdtIJ ^pw",2018-06-08T08:52:39Z,"dream2qltesq",59,"gp:AOqpTOHX0G9iAbJYWRvPFDqQS03LMxJCPE1vv3HMjWzUWLUp27BmgUNA_BOGD4Riftz5a3wV3OCQaNlt89iUVQ","org.mozilla.firefox","2018-05-01T20:07:46Z","1525205266474","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOHX0G9iAbJYWRvPFDqQS03LMxJCPE1vv3HMjWzUWLUp27BmgUNA_BOGD4Riftz5a3wV3OCQaNlt89iUVQ","2018-05-01T20:06:45Z","1525205205949","Constant crashing since the latest android update. Unusable in it's current state.",null,2018-05-01T20:07:46Z,2018-05-01T20:06:45Z,"en","1",1,false
"2014042414","29.0","2018-06-08T08:52:38Z","1528447958899","Hi. Thank you for your feedback. Our developers keep the design of Firefox under the review so this could change in a future release. This article will help you to close tabs that you have open. https://mzl.la/2kPk8FV ^pw",2018-06-08T08:52:38Z,"htc_himaulatt",29,"gp:AOqpTOHNhDJwZFECsI4GFbIgHW_ZYQ_5NLKM0c2TlbYI4gd7KiTARYQm2Bo4dLMy0X7L9coKi_CQQJMvUFm9xQ","org.mozilla.firefox","2018-05-01T20:11:38Z","1525205498066","https://play.google.com/apps/publish?account=7083182635971239206#ReviewDetailsPlace:p=org.mozilla.firefox&reviewid=gp:AOqpTOHNhDJwZFECsI4GFbIgHW_ZYQ_5NLKM0c2TlbYI4gd7KiTARYQm2Bo4dLMy0X7L9coKi_CQQJMvUFm9xQ","2018-05-01T20:10:41Z","1525205441339","The home screen is so heavily cluttered with useless junk its unusable, and there is no way to escape a page or close tabs.",null,2018-05-01T20:11:38Z,2018-05-01T20:10:41Z,"en","1",1,false
